step,samples,normal_exact_match,injection_zero_exact_match,oracle_exact_match,forced_zero_exact_match,forced_random_exact_match,operand_exact_match,pair_exact_match,calculator_result_accuracy,mean_a_confidence,mean_b_confidence,mean_pair_confidence,mean_a_entropy,mean_b_entropy,mean_pair_entropy,learned_result_distribution
0,400,0.0575,0.0425,1.0,0.005,0.0175,0.0025,0.0025,0.0575,1.0,1.0,nan,2.2303409833198108e-15,2.2303408784994833e-15,nan,"{""3"": 2, ""4"": 22, ""10"": 6, ""11"": 9, ""12"": 19, ""16"": 12, ""17"": 136, ""19"": 6, ""23"": 38, ""28"": 82, ""33"": 58, ""38"": 3}"
25,400,0.0575,0.05,1.0,0.005,0.0275,0.0025,0.0025,0.0575,1.0,1.0,nan,2.230340876381901e-15,2.230340876381901e-15,nan,"{""18"": 400}"
50,400,0.06,0.0625,1.0,0.0025,0.015,0.0075,0.0075,0.06,1.0,1.0,nan,2.230341088140138e-15,2.230340876381901e-15,nan,"{""19"": 400}"
75,400,0.095,0.045,1.0,0.0025,0.01,0.0,0.0,0.095,1.0,1.0,nan,2.2303410134953595e-15,2.230340876381901e-15,nan,"{""10"": 56, ""13"": 8, ""17"": 35, ""18"": 42, ""20"": 163, ""24"": 20, ""27"": 76}"
100,400,0.1275,0.0425,1.0,0.01,0.01,0.005,0.005,0.1275,1.0,1.0,nan,2.2303410722582702e-15,2.2303409160865704e-15,nan,"{""9"": 27, ""11"": 59, ""14"": 3, ""15"": 25, ""19"": 82, ""21"": 114, ""26"": 49, ""27"": 15, ""30"": 26}"
125,400,0.0975,0.045,1.0,0.005,0.0175,0.0,0.0,0.0975,1.0,1.0,nan,2.2303409875549754e-15,2.2303408769112965e-15,nan,"{""9"": 63, ""11"": 19, ""12"": 2, ""14"": 37, ""18"": 88, ""21"": 88, ""23"": 2, ""25"": 27, ""26"": 1, ""28"": 73}"
150,400,0.1275,0.05,1.0,0.0025,0.015,0.005,0.005,0.1275,1.0,1.0,nan,2.2303410251420625e-15,2.230340876381901e-15,nan,"{""7"": 58, ""10"": 5, ""12"": 61, ""17"": 53, ""19"": 118, ""24"": 41, ""27"": 28, ""29"": 36}"
175,400,0.1625,0.05,1.0,0.0025,0.0225,0.01,0.01,0.1625,1.0,1.0,nan,2.230340976437668e-15,2.2303409129101967e-15,nan,"{""9"": 61, ""12"": 58, ""13"": 2, ""17"": 75, ""18"": 15, ""19"": 14, ""20"": 4, ""21"": 50, ""24"": 36, ""26"": 28, ""27"": 16, ""30"": 41}"
200,400,0.155,0.035,1.0,0.0025,0.0325,0.0075,0.0075,0.155,1.0,1.0,nan,2.230340969555525e-15,2.2303409092044276e-15,nan,"{""4"": 11, ""8"": 47, ""12"": 25, ""13"": 8, ""14"": 37, ""17"": 2, ""18"": 93, ""20"": 27, ""23"": 64, ""25"": 3, ""27"": 20, ""30"": 62}"
225,400,0.195,0.06,1.0,0.0025,0.0075,0.005,0.005,0.195,1.0,1.0,nan,2.2303409992016784e-15,2.2303408859110216e-15,nan,"{""4"": 20, ""9"": 42, ""11"": 19, ""14"": 48, ""16"": 14, ""18"": 44, ""20"": 64, ""23"": 53, ""25"": 15, ""27"": 28, ""30"": 9, ""32"": 23}"
250,400,0.15,0.0625,1.0,0.0,0.0125,0.0125,0.0125,0.15,1.0,1.0,nan,2.230341018789315e-15,2.2303408769112965e-15,nan,"{""8"": 47, ""10"": 11, ""11"": 12, ""14"": 34, ""16"": 36, ""19"": 35, ""21"": 77, ""24"": 38, ""28"": 35, ""29"": 14, ""32"": 18, ""33"": 19}"
275,400,0.185,0.0475,1.0,0.005,0.0225,0.005,0.005,0.185,1.0,1.0,nan,2.2303410092601945e-15,2.2303408938519554e-15,nan,"{""5"": 15, ""7"": 22, ""10"": 39, ""14"": 38, ""18"": 52, ""21"": 61, ""22"": 33, ""24"": 35, ""27"": 38, ""29"": 15, ""31"": 18, ""35"": 15}"
300,400,0.18,0.05,1.0,0.005,0.0275,0.01,0.01,0.18,1.0,1.0,nan,2.2303410198481065e-15,2.2303409081456366e-15,nan,"{""5"": 16, ""6"": 22, ""11"": 36, ""14"": 57, ""16"": 25, ""19"": 49, ""20"": 24, ""21"": 14, ""24"": 18, ""26"": 52, ""28"": 23, ""31"": 25}"
325,400,0.2375,0.06,1.0,0.0025,0.0225,0.0125,0.0125,0.2375,1.0,1.0,nan,2.23034100502503e-15,2.2303409060280543e-15,nan,"{""4"": 11, ""10"": 39, ""14"": 28, ""16"": 22, ""17"": 30, ""20"": 78, ""22"": 14, ""24"": 20, ""26"": 37, ""29"": 20, ""32"": 13, ""35"": 15}"
350,400,0.2275,0.05,1.0,0.0025,0.02,0.015,0.015,0.2275,1.0,1.0,nan,2.230340982790415e-15,2.2303408811464615e-15,nan,"{""4"": 17, ""8"": 30, ""12"": 27, ""13"": 30, ""16"": 15, ""18"": 69, ""23"": 39, ""25"": 22, ""27"": 23, ""29"": 29, ""32"": 15, ""35"": 16}"
375,400,0.215,0.065,1.0,0.0025,0.0125,0.0175,0.0175,0.215,1.0,1.0,nan,2.230341018789315e-15,2.230340882734648e-15,nan,"{""4"": 15, ""7"": 24, ""10"": 44, ""12"": 24, ""13"": 18, ""15"": 9, ""16"": 11, ""18"": 19, ""19"": 97, ""23"": 57, ""27"": 43, ""32"": 17}"
400,400,0.18,0.05,1.0,0.005,0.03,0.02,0.02,0.18,1.0,1.0,nan,2.230341007142612e-15,2.230340888028604e-15,nan,"{""3"": 18, ""8"": 36, ""11"": 30, ""13"": 25, ""16"": 70, ""18"": 17, ""20"": 25, ""21"": 33, ""23"": 35, ""25"": 21, ""28"": 21, ""30"": 12}"
425,400,0.24,0.0425,1.0,0.0,0.0275,0.025,0.025,0.24,1.0,1.0,nan,2.230341002378052e-15,2.2303409060280543e-15,nan,"{""8"": 19, ""9"": 12, ""12"": 54, ""15"": 24, ""17"": 39, ""19"": 51, ""22"": 21, ""23"": 35, ""26"": 32, ""29"": 16, ""32"": 17, ""35"": 18}"
450,400,0.3025,0.04,1.0,0.0025,0.0175,0.035,0.035,0.3025,1.0,1.0,nan,2.2303410055544253e-15,2.2303409129101967e-15,nan,"{""4"": 9, ""9"": 19, ""10"": 17, ""13"": 33, ""16"": 33, ""18"": 38, ""20"": 19, ""21"": 16, ""22"": 59, ""25"": 43, ""28"": 21, ""31"": 29}"
475,400,0.22,0.055,1.0,0.01,0.0175,0.025,0.025,0.22,1.0,1.0,nan,2.2303410145541505e-15,2.230340886969813e-15,nan,"{""3"": 18, ""5"": 30, ""11"": 30, ""13"": 16, ""14"": 15, ""16"": 20, ""18"": 34, ""19"": 51, ""23"": 34, ""25"": 15, ""28"": 42, ""33"": 14}"
500,400,0.2025,0.035,1.0,0.0075,0.0225,0.0175,0.0175,0.2025,1.0,1.0,nan,2.2303410145541505e-15,2.230340888028604e-15,nan,"{""5"": 16, ""11"": 18, ""13"": 27, ""17"": 52, ""19"": 39, ""20"": 19, ""23"": 45, ""25"": 18, ""28"": 23, ""30"": 22, ""33"": 20, ""36"": 16}"
525,400,0.1975,0.0375,1.0,0.0025,0.0325,0.0225,0.0225,0.1975,1.0,1.0,nan,2.230341048964864e-15,2.230340904969263e-15,nan,"{""3"": 13, ""7"": 25, ""11"": 47, ""13"": 14, ""14"": 15, ""15"": 21, ""18"": 21, ""19"": 53, ""22"": 27, ""23"": 48, ""27"": 34, ""29"": 14}"
550,400,0.275,0.07,1.0,0.0,0.02,0.0375,0.0375,0.275,1.0,1.0,nan,2.230341016671733e-15,2.230340904969263e-15,nan,"{""6"": 27, ""8"": 17, ""11"": 22, ""13"": 34, ""15"": 27, ""17"": 23, ""19"": 33, ""21"": 33, ""22"": 34, ""24"": 27, ""27"": 17, ""29"": 23}"
