step,loss,answer_loss,answer_loss_weight,aux_operand_loss,aux_operand_loss_weight,policy_loss,policy_baseline,policy_advantage_mean,sampled_logp,operand_entropy,entropy_weight,adaptive_interface_loss,adaptive_interface_loss_weight,adaptive_interface_target_loss,adaptive_interface_objective,adaptive_interface_entropy,adaptive_interface_entropy_weight,adaptive_target_result_accuracy,adaptive_learned_target_agreement,adaptive_target_operand_exact_match,adaptive_target_pair_mass,action_loss_interface_loss,action_loss_interface_objective,action_loss_interface_target_loss,action_loss_candidate_count,action_loss_candidate_temperature,action_loss_candidate_refresh_every,action_loss_candidate_ema_beta,action_loss_replay_cache_size,action_loss_replay_refresh_fraction,action_loss_candidate_best_improvement,action_loss_candidate_better_fraction,action_loss_candidate_best_matches_true_operands,action_loss_candidate_best_result_accuracy,action_loss_candidate_learned_result_accuracy,action_loss_candidate_soft_target_true_a_mass,action_loss_candidate_soft_target_true_b_mass,action_loss_full_enum_temperature,action_loss_full_enum_min_probability_floor,action_loss_full_enum_chunk_size,action_loss_full_enum_target_mode,action_loss_full_enum_best_nll,action_loss_full_enum_learned_nll,action_loss_full_enum_true_nll,action_loss_full_enum_learned_minus_true_gap,action_loss_full_enum_learned_minus_best_gap,action_loss_full_enum_true_best_fraction,action_loss_full_enum_learned_best_fraction,action_loss_full_enum_joint_target_loss,action_loss_full_enum_pair_entropy,action_loss_full_enum_pair_logit_entropy,action_loss_full_enum_pair_logit_effective_pairs,action_loss_full_enum_pair_exact_match,action_loss_full_enum_result_equivalent_pair_accuracy,action_loss_full_enum_true_pair_probability,action_loss_full_enum_true_pair_rank,action_loss_full_enum_learned_pair_nll,action_loss_full_enum_true_pair_nll,action_loss_full_enum_best_pair_nll,action_loss_full_enum_soft_target_true_a_mass,action_loss_full_enum_soft_target_true_b_mass,action_loss_full_enum_entropy,action_loss_full_enum_effective_pairs,action_loss_full_enum_true_pair_probability,action_loss_full_enum_true_pair_rank,action_loss_full_enum_best_left_operand_accuracy,action_loss_full_enum_top1_mass,action_loss_full_enum_top3_mass,action_loss_full_enum_top5_mass,expected_answer_loss,expected_answer_loss_objective,expected_answer_loss_weight,expected_answer_loss_policy_temperature,expected_answer_loss_cost_normalization,expected_answer_loss_entropy_weight,expected_answer_loss_entropy,expected_answer_loss_effective_pairs,expected_answer_loss_best_nll,expected_answer_loss_true_nll,expected_answer_loss_learned_nll,expected_answer_loss_expected_minus_best_gap,expected_answer_loss_learned_minus_best_gap,expected_answer_loss_learned_minus_true_gap,expected_answer_loss_best_pair_probability,expected_answer_loss_true_pair_probability,expected_answer_loss_learned_pair_probability,expected_answer_loss_hard_learned_best_fraction,expected_answer_loss_hard_learned_pair_exact,expected_answer_loss_hard_learned_calc_accuracy,result_boundary_target_loss,result_boundary_target_objective,result_boundary_target_loss_weight,result_boundary_target_mode,result_boundary_target_temperature,result_boundary_target_min_probability_floor,result_boundary_target_chunk_size,result_boundary_target_best_nll,result_boundary_target_true_nll,result_boundary_target_learned_nll,result_boundary_target_learned_minus_best_gap,result_boundary_target_learned_minus_true_gap,result_boundary_target_hard_best_equals_true_sum,result_boundary_target_tie_aware_true_result_best_fraction,result_boundary_target_true_result_probability,result_boundary_target_entropy,result_boundary_target_effective_results,result_boundary_target_learned_best_fraction,result_boundary_target_hard_learned_calc_accuracy,relaxed_calculator_temperature,relaxed_calculator_final_temperature,relaxed_calculator_mode,relaxed_calculator_hard_forward,relaxed_calculator_entropy_weight,relaxed_calculator_entropy,relaxed_calculator_effective_pairs,relaxed_calculator_result_entropy,relaxed_calculator_effective_results,relaxed_calculator_true_result_probability,relaxed_calculator_argmax_result_accuracy,relaxed_calculator_top3_result_accuracy,relaxed_calculator_hard_learned_pair_exact,relaxed_calculator_hard_learned_calc_accuracy,oracle_operands_used,relaxed_calculator_entropy_objective
0,3.663559913635254,7.914655685424805,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.663559913635254,3.663559913635254,1.0,hard_best_result,0.25,0.0,64,0.00037341349525377154,0.00037341349525377154,7.914655685424805,7.91428279876709,7.91428279876709,1.0,1.0,0.999890923500061,0.0010615731589496136,1.0010639429092407,0.029999999329447746,0.029999999329447746,1.0,1.0,,1,0.0,3.663562059402466,nan,3.663562059402466,38.999996185302734,0.025641078129410744,0.029999999329447746,0.14000000059604645,0.0024999999441206455,0.029999999329447746,0,-0.0
25,3.464991807937622,7.577087879180908,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.464991807937622,3.464991807937622,1.0,hard_best_result,0.25,0.0,64,0.0003665536642074585,0.0003665536642074585,7.577087879180908,7.57672119140625,7.57672119140625,1.0,1.0,0.9999006390571594,0.0009677194175310433,1.0009698867797852,0.05000000074505806,0.05000000074505806,1.0,1.0,,1,0.0,3.483466148376465,nan,3.483466148376465,32.57383346557617,0.03429589420557022,0.05000000074505806,0.13500000536441803,0.0,0.05000000074505806,0,-0.0
50,3.3549880981445312,7.036926746368408,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3549880981445312,3.3549880981445312,1.0,hard_best_result,0.25,0.0,64,0.0003716037899721414,0.0003716037899721414,7.036926746368408,7.036555290222168,7.036555290222168,1.0,1.0,0.999905526638031,0.0009219521889463067,1.000923752784729,0.05000000074505806,0.05000000074505806,1.0,1.0,,1,0.0,3.4731357097625732,nan,3.4731357097625732,32.24115753173828,0.037366289645433426,0.05000000074505806,0.16500000655651093,0.0024999999441206455,0.05000000074505806,0,-0.0
75,3.0764310359954834,6.558309555053711,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0764310359954834,3.0764310359954834,1.0,hard_best_result,0.25,0.0,64,0.00036246434319764376,0.00036246434319764376,6.558309555053711,6.557946681976318,6.557946681976318,1.0,1.0,0.9999018907546997,0.0009634331800043583,1.0009654760360718,0.125,0.125,1.0,1.0,,1,0.0,3.3624420166015625,nan,3.3624420166015625,28.954984664916992,0.047806039452552795,0.125,0.27000001072883606,0.0,0.125,0,-0.0
100,2.8941409587860107,6.380184173583984,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8941409587860107,2.8941409587860107,1.0,hard_best_result,0.25,0.0,64,0.0003745950816664845,0.0003745950816664845,6.380184173583984,6.379810333251953,6.379810333251953,1.0,1.0,0.9999005198478699,0.0009699107613414526,1.0009719133377075,0.08250000327825546,0.08250000327825546,1.0,1.0,,1,0.0,3.1511785984039307,nan,3.1511785984039307,23.527406692504883,0.05838872864842415,0.08250000327825546,0.2750000059604645,0.007499999832361937,0.08250000327825546,0,-0.0
125,2.710007429122925,5.391094207763672,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.710007429122925,2.710007429122925,1.0,hard_best_result,0.25,0.0,64,0.00039797730278223753,0.00039797730278223753,5.391095161437988,5.3906965255737305,5.3906965255737305,1.0,1.0,0.9998839497566223,0.0011246175272390246,1.0011268854141235,0.13500000536441803,0.13500000536441803,1.0,1.0,,1,0.0,3.0221526622772217,nan,3.0221526622772217,20.633167266845703,0.06945551931858063,0.13500000536441803,0.3824999928474426,0.0024999999441206455,0.13500000536441803,0,-0.0
150,2.5815353393554688,5.874931812286377,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5815353393554688,2.5815353393554688,1.0,hard_best_result,0.25,0.0,64,0.00033286542748101056,0.00033286542748101056,5.874931812286377,5.874598503112793,5.874598503112793,1.0,1.0,0.9998855590820312,0.0011162845185026526,1.001118779182434,0.13500000536441803,0.13500000536441803,1.0,1.0,,1,0.0,2.8893227577209473,nan,2.8893227577209473,18.04499053955078,0.07840821892023087,0.13500000536441803,0.4050000011920929,0.019999999552965164,0.13500000536441803,0,-0.0
175,2.4947333335876465,4.876647472381592,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4947333335876465,2.4947333335876465,1.0,hard_best_result,0.25,0.0,64,0.0003656679764389992,0.0003656679764389992,4.876647472381592,4.87628173828125,4.87628173828125,1.0,1.0,0.9998784065246582,0.0011915783397853374,1.0011943578720093,0.14000000059604645,0.14000000059604645,1.0,1.0,,1,0.0,2.8010308742523193,nan,2.8010308742523193,16.502748489379883,0.08505325019359589,0.14000000059604645,0.46000000834465027,0.004999999888241291,0.14000000059604645,0,-0.0
200,2.4504528045654297,4.83682107925415,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4504528045654297,2.4504528045654297,1.0,hard_best_result,0.25,0.0,64,0.00043295734212733805,0.00043295734212733805,4.836821556091309,4.83638858795166,4.83638858795166,1.0,1.0,0.9998961091041565,0.0010259657865390182,1.0010281801223755,0.1525000035762787,0.1525000035762787,1.0,1.0,,1,0.0,2.725253105163574,nan,2.725253105163574,15.302875518798828,0.09032320231199265,0.1525000035762787,0.4424999952316284,0.007499999832361937,0.1525000035762787,0,-0.0
225,2.3659400939941406,4.862813949584961,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3659400939941406,2.3659400939941406,1.0,hard_best_result,0.25,0.0,64,0.0003909277147613466,0.0003909277147613466,4.862813949584961,4.862422943115234,4.862422943115234,1.0,1.0,0.9998738169670105,0.0012309300946071744,1.001233696937561,0.16500000655651093,0.16500000655651093,1.0,1.0,,1,0.0,2.6696808338165283,nan,2.6696808338165283,14.4779634475708,0.09733299165964127,0.16500000655651093,0.4975000023841858,0.004999999888241291,0.16500000655651093,0,-0.0
