step,samples,normal_exact_match,injection_zero_exact_match,oracle_exact_match,forced_zero_exact_match,forced_random_exact_match,operand_exact_match,pair_exact_match,calculator_result_accuracy,mean_a_confidence,mean_b_confidence,mean_pair_confidence,mean_a_entropy,mean_b_entropy,mean_pair_entropy,learned_result_distribution
0,400,0.01,0.0425,1.0,0.005,0.0175,0.0,0.0,0.01,1.0,1.0,nan,2.2303410521412376e-15,2.2303409393799763e-15,nan,"{""0"": 3, ""1"": 36, ""9"": 29, ""11"": 28, ""19"": 93, ""24"": 4, ""26"": 2, ""29"": 39, ""32"": 12, ""33"": 18, ""37"": 17, ""38"": 117}"
25,400,0.0425,0.05,1.0,0.005,0.0275,0.0,0.0,0.0425,1.0,1.0,nan,2.2303410060838212e-15,2.230340876381901e-15,nan,"{""18"": 155, ""19"": 245}"
50,400,0.08,0.0625,1.0,0.0025,0.015,0.0075,0.0075,0.08,1.0,1.0,nan,2.230341034671183e-15,2.230340877970088e-15,nan,"{""13"": 16, ""16"": 85, ""19"": 193, ""22"": 3, ""28"": 103}"
75,400,0.1175,0.045,1.0,0.0025,0.01,0.015,0.015,0.1175,1.0,1.0,nan,2.2303409976134915e-15,2.2303408901461863e-15,nan,"{""10"": 81, ""11"": 6, ""18"": 90, ""20"": 12, ""21"": 116, ""27"": 50, ""28"": 19, ""30"": 26}"
100,400,0.0825,0.0425,1.0,0.01,0.01,0.005,0.005,0.0825,1.0,1.0,nan,2.2303410442003038e-15,2.230340903381076e-15,nan,"{""9"": 58, ""10"": 20, ""11"": 21, ""16"": 5, ""19"": 134, ""20"": 62, ""21"": 10, ""26"": 5, ""27"": 34, ""28"": 5, ""30"": 46}"
125,400,0.1,0.045,1.0,0.005,0.0175,0.01,0.01,0.1,1.0,1.0,nan,2.2303409965547006e-15,2.230340915027779e-15,nan,"{""9"": 95, ""14"": 21, ""16"": 14, ""17"": 10, ""18"": 33, ""19"": 39, ""20"": 29, ""21"": 24, ""23"": 16, ""25"": 22, ""28"": 22, ""30"": 57}"
150,400,0.1475,0.05,1.0,0.0025,0.015,0.0075,0.0075,0.1475,1.0,1.0,nan,2.230341019318711e-15,2.23034088008767e-15,nan,"{""7"": 31, ""9"": 74, ""14"": 8, ""15"": 11, ""17"": 37, ""19"": 59, ""20"": 37, ""24"": 42, ""27"": 21, ""28"": 10, ""29"": 26, ""33"": 21}"
175,400,0.155,0.05,1.0,0.0025,0.0225,0.0125,0.0125,0.155,1.0,1.0,nan,2.2303409923195355e-15,2.230340916615966e-15,nan,"{""9"": 90, ""15"": 20, ""17"": 22, ""18"": 32, ""20"": 32, ""21"": 21, ""23"": 17, ""24"": 15, ""25"": 13, ""26"": 27, ""30"": 27, ""34"": 18}"
200,400,0.235,0.035,1.0,0.0025,0.0325,0.02,0.02,0.235,1.0,1.0,nan,2.230340982790415e-15,2.2303409044398674e-15,nan,"{""6"": 38, ""9"": 35, ""13"": 25, ""14"": 19, ""15"": 19, ""18"": 68, ""20"": 19, ""22"": 16, ""23"": 28, ""25"": 27, ""30"": 35, ""33"": 19}"
225,400,0.275,0.06,1.0,0.0025,0.0075,0.01,0.01,0.275,1.0,1.0,nan,2.2303409923195355e-15,2.230340881675857e-15,nan,"{""6"": 50, ""9"": 39, ""14"": 32, ""16"": 23, ""18"": 18, ""19"": 31, ""20"": 33, ""23"": 21, ""24"": 23, ""25"": 23, ""27"": 21, ""32"": 22}"
