step,loss,answer_loss,answer_loss_weight,aux_operand_loss,aux_operand_loss_weight,policy_loss,policy_baseline,policy_advantage_mean,sampled_logp,operand_entropy,entropy_weight,adaptive_interface_loss,adaptive_interface_loss_weight,adaptive_interface_target_loss,adaptive_interface_objective,adaptive_interface_entropy,adaptive_interface_entropy_weight,adaptive_target_result_accuracy,adaptive_learned_target_agreement,adaptive_target_operand_exact_match,adaptive_target_pair_mass,action_loss_interface_loss,action_loss_interface_objective,action_loss_interface_target_loss,action_loss_candidate_count,action_loss_candidate_temperature,action_loss_candidate_refresh_every,action_loss_candidate_ema_beta,action_loss_replay_cache_size,action_loss_replay_refresh_fraction,action_loss_candidate_best_improvement,action_loss_candidate_better_fraction,action_loss_candidate_best_matches_true_operands,action_loss_candidate_best_result_accuracy,action_loss_candidate_learned_result_accuracy,action_loss_candidate_soft_target_true_a_mass,action_loss_candidate_soft_target_true_b_mass,action_loss_full_enum_temperature,action_loss_full_enum_min_probability_floor,action_loss_full_enum_chunk_size,action_loss_full_enum_target_mode,action_loss_full_enum_best_nll,action_loss_full_enum_learned_nll,action_loss_full_enum_true_nll,action_loss_full_enum_learned_minus_true_gap,action_loss_full_enum_learned_minus_best_gap,action_loss_full_enum_true_best_fraction,action_loss_full_enum_learned_best_fraction,action_loss_full_enum_joint_target_loss,action_loss_full_enum_pair_entropy,action_loss_full_enum_pair_logit_entropy,action_loss_full_enum_pair_logit_effective_pairs,action_loss_full_enum_pair_exact_match,action_loss_full_enum_result_equivalent_pair_accuracy,action_loss_full_enum_true_pair_probability,action_loss_full_enum_true_pair_rank,action_loss_full_enum_learned_pair_nll,action_loss_full_enum_true_pair_nll,action_loss_full_enum_best_pair_nll,action_loss_full_enum_soft_target_true_a_mass,action_loss_full_enum_soft_target_true_b_mass,action_loss_full_enum_entropy,action_loss_full_enum_effective_pairs,action_loss_full_enum_true_pair_probability,action_loss_full_enum_true_pair_rank,action_loss_full_enum_best_left_operand_accuracy,action_loss_full_enum_top1_mass,action_loss_full_enum_top3_mass,action_loss_full_enum_top5_mass,expected_answer_loss,expected_answer_loss_objective,expected_answer_loss_weight,expected_answer_loss_policy_temperature,expected_answer_loss_cost_normalization,expected_answer_loss_entropy_weight,expected_answer_loss_entropy,expected_answer_loss_effective_pairs,expected_answer_loss_best_nll,expected_answer_loss_true_nll,expected_answer_loss_learned_nll,expected_answer_loss_expected_minus_best_gap,expected_answer_loss_learned_minus_best_gap,expected_answer_loss_learned_minus_true_gap,expected_answer_loss_best_pair_probability,expected_answer_loss_true_pair_probability,expected_answer_loss_learned_pair_probability,expected_answer_loss_hard_learned_best_fraction,expected_answer_loss_hard_learned_pair_exact,expected_answer_loss_hard_learned_calc_accuracy,result_boundary_target_loss,result_boundary_target_objective,result_boundary_target_loss_weight,result_boundary_target_mode,result_boundary_target_temperature,result_boundary_target_min_probability_floor,result_boundary_target_chunk_size,result_boundary_target_best_nll,result_boundary_target_true_nll,result_boundary_target_learned_nll,result_boundary_target_learned_minus_best_gap,result_boundary_target_learned_minus_true_gap,result_boundary_target_hard_best_equals_true_sum,result_boundary_target_tie_aware_true_result_best_fraction,result_boundary_target_true_result_probability,result_boundary_target_entropy,result_boundary_target_effective_results,result_boundary_target_learned_best_fraction,result_boundary_target_hard_learned_calc_accuracy,relaxed_calculator_temperature,relaxed_calculator_final_temperature,relaxed_calculator_mode,relaxed_calculator_hard_forward,relaxed_calculator_entropy_weight,relaxed_calculator_entropy,relaxed_calculator_effective_pairs,relaxed_calculator_result_entropy,relaxed_calculator_effective_results,relaxed_calculator_true_result_probability,relaxed_calculator_argmax_result_accuracy,relaxed_calculator_top3_result_accuracy,relaxed_calculator_hard_learned_pair_exact,relaxed_calculator_hard_learned_calc_accuracy,oracle_operands_used,relaxed_calculator_entropy_objective
0,3.6637771129608154,6.719508171081543,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6637771129608154,3.6637771129608154,1.0,hard_best_result,0.25,0.0,64,0.00037341349525377154,0.00037341349525377154,6.719508171081543,6.719135284423828,6.719135284423828,1.0,1.0,0.999890923500061,0.0010615731589496136,1.0010639429092407,0.007499999832361937,0.007499999832361937,1.0,1.0,,1,0.0,3.6635546684265137,nan,3.6635546684265137,38.99973678588867,0.025635650381445885,0.007499999832361937,0.08500000089406967,0.0,0.007499999832361937,0,-0.0
25,3.439678907394409,6.997747421264648,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.439678907394409,3.439678907394409,1.0,hard_best_result,0.25,0.0,64,0.0003665536642074585,0.0003665536642074585,6.997747421264648,6.997380256652832,6.997380256652832,1.0,1.0,0.9999006390571594,0.0009677194175310433,1.0009698867797852,0.04500000178813934,0.04500000178813934,1.0,1.0,,1,0.0,3.5285894870758057,nan,3.5285894870758057,34.07831573486328,0.03439263626933098,0.04500000178813934,0.1599999964237213,0.0,0.04500000178813934,0,-0.0
50,3.2419848442077637,6.73883056640625,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2419848442077637,3.2419848442077637,1.0,hard_best_result,0.25,0.0,64,0.0003716037899721414,0.0003716037899721414,6.73883056640625,6.738458156585693,6.738458156585693,1.0,1.0,0.999905526638031,0.0009219521889463067,1.000923752784729,0.07750000059604645,0.07750000059604645,1.0,1.0,,1,0.0,3.4302070140838623,nan,3.4302070140838623,30.919349670410156,0.04161905124783516,0.07750000059604645,0.2224999964237213,0.0024999999441206455,0.07750000059604645,0,-0.0
75,2.955289840698242,7.03065299987793,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.955289840698242,2.955289840698242,1.0,hard_best_result,0.25,0.0,64,0.00036246434319764376,0.00036246434319764376,7.03065299987793,7.030290603637695,7.030290603637695,1.0,1.0,0.9999018907546997,0.0009634331800043583,1.0009654760360718,0.0949999988079071,0.0949999988079071,1.0,1.0,,1,0.0,3.2020959854125977,nan,3.2020959854125977,24.90654754638672,0.05536063015460968,0.0949999988079071,0.2874999940395355,0.004999999888241291,0.0949999988079071,0,-0.0
100,2.776566505432129,6.155580520629883,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.776566505432129,2.776566505432129,1.0,hard_best_result,0.25,0.0,64,0.0003745950816664845,0.0003745950816664845,6.155580520629883,6.155205726623535,6.155205726623535,1.0,1.0,0.9999005198478699,0.0009699107613414526,1.0009719133377075,0.10499999672174454,0.10499999672174454,1.0,1.0,,1,0.0,2.990405797958374,nan,2.990405797958374,20.13147735595703,0.06682002544403076,0.10499999672174454,0.2775000035762787,0.009999999776482582,0.10499999672174454,0,-0.0
125,2.5821759700775146,5.285070896148682,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5821759700775146,2.5821759700775146,1.0,hard_best_result,0.25,0.0,64,0.00039797730278223753,0.00039797730278223753,5.28507137298584,5.284673690795898,5.284673690795898,1.0,1.0,0.9998839497566223,0.0011246175272390246,1.0011268854141235,0.14000000059604645,0.14000000059604645,1.0,1.0,,1,0.0,2.836500883102417,nan,2.836500883102417,17.143768310546875,0.08062668144702911,0.14000000059604645,0.4025000035762787,0.017500000074505806,0.14000000059604645,0,-0.0
150,2.4753966331481934,5.364861488342285,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4753966331481934,2.4753966331481934,1.0,hard_best_result,0.25,0.0,64,0.00033286542748101056,0.00033286542748101056,5.364861488342285,5.364528656005859,5.364528656005859,1.0,1.0,0.9998855590820312,0.0011162845185026526,1.001118779182434,0.14749999344348907,0.14749999344348907,1.0,1.0,,1,0.0,2.726810932159424,nan,2.726810932159424,15.328383445739746,0.08980900049209595,0.14749999344348907,0.4399999976158142,0.014999999664723873,0.14749999344348907,0,-0.0
175,2.3244736194610596,4.6132493019104,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3244736194610596,2.3244736194610596,1.0,hard_best_result,0.25,0.0,64,0.0003656679764389992,0.0003656679764389992,4.6132493019104,4.612883567810059,4.612883567810059,1.0,1.0,0.9998784065246582,0.0011915783397853374,1.0011943578720093,0.20749999582767487,0.20749999582767487,1.0,1.0,,1,0.0,2.620861768722534,nan,2.620861768722534,13.807095527648926,0.10368990153074265,0.20749999582767487,0.512499988079071,0.017500000074505806,0.20749999582767487,0,-0.0
200,2.181156873703003,4.1273603439331055,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.181156873703003,2.181156873703003,1.0,hard_best_result,0.25,0.0,64,0.00043295734212733805,0.00043295734212733805,4.1273603439331055,4.126927375793457,4.126927375793457,1.0,1.0,0.9998961091041565,0.0010259657865390182,1.0010281801223755,0.27000001072883606,0.27000001072883606,1.0,1.0,,1,0.0,2.5268430709838867,nan,2.5268430709838867,12.59427261352539,0.1192229762673378,0.27000001072883606,0.5849999785423279,0.019999999552965164,0.27000001072883606,0,-0.0
225,2.036547899246216,4.109140396118164,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.036547899246216,2.036547899246216,1.0,hard_best_result,0.25,0.0,64,0.0003909277147613466,0.0003909277147613466,4.109140396118164,4.1087493896484375,4.1087493896484375,1.0,1.0,0.9998738169670105,0.0012309300946071744,1.001233696937561,0.23499999940395355,0.23499999940395355,1.0,1.0,,1,0.0,2.389392375946045,nan,2.389392375946045,10.985647201538086,0.13742922246456146,0.23499999940395355,0.7074999809265137,0.032499998807907104,0.23499999940395355,0,-0.0
